,date,title,url,index,index_similarity,title_similar_index
0,2022.01.31.,'제2의 자두 사건'...고양이 살해범 잡아주세요,https://www.ytn.co.kr/_ln/0115_202201312029383965,0$,0$'제2의 자두 사건'...고양이 살해범 잡아주세요,[]
1,2022.01.31.,"""고양이 꼬리잡고 바닥에 내리쳐 살해""…경찰 수사 착수",http://www.newsis.com/view/?id=NISX20220131_0001743534&cID=10812&pID=10800,1$,"1$""고양이 꼬리잡고 바닥에 내리쳐 살해""…경찰 수사 착수",[]
2,2022.01.31.,"이재명, 고양이 ‘두부’ 잔혹 살해에 “사람 향할 수도”",http://news.kmib.co.kr/article/view.asp?arcid=0016723451&code=61111111&cp=nv,2$,"2$이재명, 고양이 ‘두부’ 잔혹 살해에 “사람 향할 수도”",[]
3,2022.01.31.,[사건의 재구성]범행 감추려고 피해자 언니까지 살해한 인면수심 30대,https://www.news1.kr/articles/?4570950,3$,3$[사건의 재구성]범행 감추려고 피해자 언니까지 살해한 인면수심 30대,[]
4,2022.01.30.,"[사건의 재구성] 16살 연하 남친 살해한 돌싱녀…""내가 창피해?""",https://www.news1.kr/articles/?4570040,4$,"4$[사건의 재구성] 16살 연하 남친 살해한 돌싱녀…""내가 창피해?""",[]
5,2022.01.30.,고양이 ‘두부’ 잔혹 살해 범죄에 이재명 “경찰 적극 수사해야”,https://www.hani.co.kr/arti/politics/politics_general/1029321.html,5$,5$고양이 ‘두부’ 잔혹 살해 범죄에 이재명 “경찰 적극 수사해야”,[]
6,2022.01.26.,16세 연하 남친 흉기 살해 30대 여성 징역 22년,https://www.seoul.co.kr/news/newsView.php?id=20220126500100&wlog_tag3=naver,6$,6$16세 연하 남친 흉기 살해 30대 여성 징역 22년,[]
9,2022.01.26.,결혼 1달 만에 아내 폭행·살해한 50대에 징역 30년 구형,http://www.newsis.com/view/?id=NISX20220126_0001738203&cID=10807&pID=10800,9$,9$결혼 1달 만에 아내 폭행·살해한 50대에 징역 30년 구형,[]
10,2022.01.26.,"“내 번호 왜 지워”… 남친 살해한 여성, 무기징역→징역 22년 감형",https://biz.chosun.com/topics/law_firm/2022/01/26/CICTF4BSGBGEVFNH2M2SFIA7ZI/?utm_source=naver&utm_medium=original&utm_campaign=biz,10$,"10$“내 번호 왜 지워”… 남친 살해한 여성, 무기징역→징역 22년 감형",[]
11,2022.01.30.,창원서 고양이 꼬리 잡고 살해…이재명 “경찰의 적극 수사 요청”,http://www.segye.com/content/html/2022/01/30/20220130506469.html?OutUrl=naver,11$,11$창원서 고양이 꼬리 잡고 살해…이재명 “경찰의 적극 수사 요청”,[]
12,2022.01.28.,수억원 횡령 들통 나자 점주 살해 직원…징역 13년,http://www.fnnews.com/news/202201281044280038,12$,12$수억원 횡령 들통 나자 점주 살해 직원…징역 13년,[]
13,2022.01.28.,"70대 마구 때린 190㎝ 20대男…""형 가볍다"" 2심서 징역 늘어",http://www.newsis.com/view/?id=NISX20220128_0001741876&cID=10201&pID=10200,13$,"13$70대 마구 때린 190㎝ 20대男…""형 가볍다"" 2심서 징역 늘어",[]
