,date,title,url,처벌,범죄_키워드,가해자_나이대,피해자,가해자
0,2022.01.26.,결혼 1달 만에 아내 폭행·살해한 50대에 징역 30년 구형,http://www.newsis.com/view/?id=NISX20220126_0001738203&cID=10807&pID=10800,징역 30년,"['결혼', '폭행', '살해', '징역', '구형']",50,아내,남편
1,2022.01.29.,"술주정·폭언·욕설 시달려 남편 살해한 60대 아내, '징역 4년'",https://www.news1.kr/articles/?4570429,징역 4년,"['주정', '폭언', '욕설', '살해', '징역']",60,남편,아내
2,2022.01.13.,아내 용서에도…흉기로 살해한 40대 '징역 25년' 구형,https://www.nocutnews.co.kr/news/5689758,징역 25년,"['용서', '흉기', '살해', '징역', '구형']",40,아내,남편
3,2022.01.26.,이혼 소송 중 장검으로 아내 살해한 40대에 무기징역 구형,https://view.asiae.co.kr/article/2022012615490412989,무기징역,"['이혼', '소송', '장검', '살해', '무기징역', '구형']",40,아내,남편
4,2022.01.24.,“왜 수익금 안 줘”…동업 친구 살해하려 한 20대 3명 징역형,https://www.seoul.co.kr/news/newsView.php?id=20220124500042&wlog_tag3=naver,,"['수익금', '동업', '살해', '징역형']",20,친구,친구
5,2022.01.26.,"혼인신고 한 달 뒤 아내 살해 혐의 50대… 검찰, 징역 30년 구형",http://moneys.mt.co.kr/news/mwView.php?no=2022012613218073461,징역 30년,"['혼인신고', '살해', '혐의', '검찰', '징역', '구형']",50,아내,남편
6,2022.01.24.,수익 배분에 불만 품고 동업하는 친구 살해 시도한 20대 징역 4년,http://www.segye.com/content/html/2022/01/24/20220124502333.html?OutUrl=naver,징역 4년,"['수익', '배분', '불만', '동업', '살해', '시도', '징역']",20,친구,친구
7,2022.01.24.,"""왜 수익금 안 줘"" 동업 친구 살해 시도 20대 3명 실형·집유",https://hankookilbo.com/News/Read/A2022012409190003646?did=NA,실형 ,"['수익금', '동업', '살해', '시도', '실형', '집유']",20,친구,친구
8,2022.01.26.,"장인 앞에서 아내 살해 40대男 ""평생 속죄""...檢 무기징역 구형",http://news.mt.co.kr/mtview.php?no=2022012616532912423,무기징역,"['장인', '살해', '평생', '속죄', '무기징역', '구형']",40,아내,남편
9,2022.01.26.,"장인 앞에서 아내 수십차례 찔러 살해한 40대, 검찰 ‘무기징역’ 구형",http://www.segye.com/content/html/2022/01/26/20220126515897.html?OutUrl=naver,무기징역,"['장인', '차례', '살해', '검찰', '무기징역', '구형']",40,아내,남편
10,2022.01.26.,장인 앞에서 일본도로 아내 살해한 40대…검찰 '무기징역' 구형,https://www.ajunews.com/view/20220126211516300,무기징역,"['장인', '일본도', '살해', '검찰', '무기징역', '구형']",40,아내,남편
11,2022.01.26.,"장인 앞에서 일본도로 아내 살해한 50대, 무기징역 구형 후 울먹이며 “평생 속죄하며 살겠다”",http://www.segye.com/content/html/2016/11/22/20161122503643.html?OutUrl=naver,무기징역 구형 ,"['장인', '일본도', '살해', '무기징역', '구형', '평생', '속죄']",50,아내,남편
12,2022.01.24.,혼자 수익금 관리 동업자 친구 살해 시도…20대 3명 실형·집행유예,http://www.munhwa.com/news/view.html?no=20220124MW08591198317,실형 ,"['혼자', '수익금', '관리', '업자', '살해', '시도', '실형', '집행유예']",20,친구,친구
13,2022.01.19.,말다툼 중 격분해 지인 살해·암매장… 40대 남성 징역 18년,http://www.segye.com/content/html/2022/01/19/20220119515673.html?OutUrl=naver,징역 18년,"['말다툼', '격분', '살해', '암매장', '남성', '징역']",40,지인,지인
14,2022.01.19.,말다툼 중 지인 살해 암매장한 40대에 징역 18년,http://yna.kr/AKR20220119126200053?did=1195m,징역 18년,"['말다툼', '살해', '암매장', '징역']",40,지인,지인
15,2022.02.25.,"""나이 어리다고 무시해""...지인 살해한 50대에 징역 16년",https://www.pressian.com/pages/articles/2022022415493154351?utm_source=naver&utm_medium=search,징역 16년,"['나이', '무시', '살해', '징역']",50,지인,지인
16,2022.02.25.,무시했다는 이유로 지인 살해한 50대 징역 16년,https://news.kbs.co.kr/news/view.do?ncd=5403690&ref=A,징역 16년,"['무시', '이유', '살해', '징역']",50,지인,지인
17,2022.02.17.,폭행 용서해준 아내 살해한 40대 '징역 15년',https://www.nocutnews.co.kr/news/5709103,징역 15년,"['폭행', '용서', '살해', '징역']",40,아내,남편
18,2022.02.23.,"홧김에 아내 둔기로 살해하려 한 70대, 2심도 '징역 3년'",http://www.newsis.com/view/?id=NISX20220223_0001770297&cID=10803&pID=14000,징역 3년,"['홧김', '둔기', '살해', '징역']",70,아내,남편
19,2022.02.24.,"아내 장검으로 살해한 50대, 징역 20년에 항소…'검찰도 항소'",http://www.hg-times.com/news/articleView.html?idxno=238824,징역 20년,"['장검', '살해', '징역', '항소', '검찰', '항소']",50,아내,남편
20,2022.02.15.,"""술 취해 자녀 안 돌봐"" 아내 살해 30대 징역4년",http://www.yonhapnewstv.co.kr/MYH20220215021900038/?did=1825m,징역4년,"['취해', '자녀', '살해', '징역']",30,아내,남편
21,2022.02.10.,“아들 돈 함부로 받지 말라” 다툼...아내 살해한 70대 징역 8년,https://www.seoul.co.kr/news/newsView.php?id=20220210500011&wlog_tag3=naver,징역 8년,"['아들', '함부로', '다툼', '살해', '징역']",70,아내,남편
22,2022.02.03.,빚 독촉 시달리다 부모 살해 시도한 40대 징역 7년,http://www.segye.com/content/html/2022/02/03/20220203502955.html?OutUrl=naver,징역 7년,"['독촉', '살해', '시도', '징역']",40,부모,자식
